mc,dm
九江公路,273409
古美路,000828
景凤路,007334
川沙镇南桥路,011168
南桥镇南桥路,260820
殷行路,006190
纬地路,027531
报春路,002402
大连西路,000045
大统路,000055
中华新路,000523
延长中路,002121
汾西路,002486
临汾路,004742
迎春路,027031
丰镇路,000311
亭林镇华严路,280329
华严路,024058
茸惠路,272016
双河路,009240
三门路,000114
安波路,001469
昭化路,005268
长顺路,000251
康定路,006690
周浦镇上南路,252729
康桥镇上南路,251186
上南路,000151
三江路,000596
高桥镇大同路,010166
疏影路,008722
常德路,006594
城桥镇新闸路,300173
新闸路,008108
复兴中路,004579
枣阳路,004270
行知路,001612
国定路,003473
包头南路,001602
芦潮港农场场中路,252643
海湾镇场中路,262006
海湾场中路,262869
场中路,001548
莘浜路,005964
栖山路,011379
民生路,001002
青村民生路,262884
浦申路,024865
梅陇路,006764
电台路,000706
教育路,006682
万源路,000599
海霞路,031133
川沙新镇海霞路,027417
凤庆路,000292
南桥镇正环路,262380
长宁路,000234
同普路,001934
张江镇杨镇路,010871
张江镇龙三路,010469
桂平路,005560
金汇镇西闸路,260480
惠南镇康锦路,253528
惠南镇靖海南路,253526
大吉路,000040
富都路,000022
金沙江路,003674
瞿溪路,008906
塘祁路,007874
马当路,000092
陈翔公路,023044
泰和路,005802
吉浦路,001743
黑山路,007304
政立路,005286
严桥路,011968
兰竹路,009122
洛川中路,004807
荣华西道,005137
江桥镇延长西路,021903
延长西路,002122
长寿路,000249
永吉北路,001308
纪念路,001762
纪蕴路,001769
合庆镇春雷路,004562
莫干山路,005744
盛泽路,006910
景谷路,007336
曹路镇日新村,010324
江桥镇匡巷路,020635
江桥镇赵杨路,020640
前杨路,023269
北蔡镇川北公路,024264
板泉路,027445
唐镇唐陆公路,027665
拱亮路,030696
安梅路,030946
建虹路,031013
横沥路,031453
罗迎路,027699
惠南镇新华路,251036
新华路,007974
华新镇新华路,291042
美丰路,027705
长阳路,000255
茸北镇光星路,270362
南星路,004996
周浦镇天南星路,254464
江海镇南星路,260828
南桥南星路,262392
新疆路,007992
天目中路,000409
巨峰路,011952
蓬莱路,007818
金桥路,011027
新金桥路,011991
金桥路,024055
延长路,002120
民春路,010510
中山北路,000537
川沙镇新川路,011724
密云路,006832
梅川路,006748
城桥镇秀山路,300097
秀山路,002918
虹桥路,004648
朱家角镇虹桥路,290702
唐镇镇齐爱路,028636
莲花山路,027541
花山路,027035
高东镇新龙路,024079
新龙路,008025
上中西路,000163
松江镇中山西路,270201
中山西路,000536
郡峰路,292639
御水路,011505
武威路,004012
绿杨路,006737
仙霞路,001258
茅台路,003840
安龙路,001484
水城路,000382
国晓路,027585
海波路,030597
江桥镇海波路,021961
泸定路,003783
拱海路,030693
浦连路,024870
罗芬路,027258
打浦路,000705
松林路,003934
普乐路,009197
剑川路,004710
下南路,010204
平江路,001068
岭南路,003782
梅岭南路,006756
新场镇牌楼东路,253000
长临路,000591
子洲路,009238
控江路,006708
永嘉路,001309
太原路,000398
浦秀路,024846
瑞平路,030464
金湘路,024033
川沙镇新德路,011728
嘉定镇李园一村,020158
大宁路,000050
美丹路,027701
黎安路,008695
上浦路,008966
繁兴路,008860
德平路,008666
凌兆路,008967
海泉路,261666
新闵路,008042
江川东路,001780
芝川路,002184
昌里东路,011000
小南码头路,000191
南码头路,004918
东诸安浜路,000795
大境路,000043
方浜中路,000277
富长路,030836
周家嘴路,004293
东宁路,000765
桂林路,005554
钦州北路,005124
泽悦路,273273
吴中路,002882
顾北路,005524
航北路,005675
漕泾镇金航东路,280505
航东路,005665
山阳镇金航东路,281101
远航东路,310010
北翟路,000627
高行镇杨高北路,010866
张桥镇杨高北路,024404
杨高北路,024440
陆翔路,027347
丹霞山路,029056
张江镇华夏东路,027331
川沙镇华夏东路,024586
合庆镇华夏东路,010711
宝林支路,003339
虹中路,004661
徐虹中路,006154
泽丰路,261770
川沙镇妙境路,010850
朱家角镇孟将堂路,291244
高青路,027681
唐镇路,005848
海伦路,005638
浦东大道,005756
长江西路,000229
国伟路,027589
菊园新区红石路,022324
红石路,031499
龙州南路,031047
民京路,000992
宁夏路,024110
凉城路,005732
广灵四路,000074
松乐路,270619
乐都路,270281
骊山路,005726
天家路,030815
安亭镇泽普路,020438
南阳路,005008
乳山路,003919
高台路,028849
康桥镇浦三路,252806
浦三路,005768
羽山路,008992
安亭镇秦安路,020445
三泉路,000119
花家浜路,022105
庄行镇康健路,260973
康健路,006698
朱泾镇康健路,280709
高雄路,005494
南车站路,004842
中青路,000571
伊犁南路,002171
牡丹路,012011
新浜镇红牡丹路,272078
朱泾镇牡丹路,280445
虹古路,004632
菊太路,006686
唐安路,005847
新场镇新环北路,253095
航头镇航定路,253420
莘西南路,006025
罗山路,011037
莘沥路,005978
虹井路,004638
老虹井路,030061
荣华东道,005135
飞虹路,000063
南大路,004854
中华路,000520
平度路,011956
庄行镇三城路,261232
庄行镇三民路,261231
乐都西路,270282
碧江路,008326
宾川路,005464
紫叶路,011915
华浦南路,291200
华青南路,290375
虹梅路,004642
新松江路,272025
瑞虹路,009221
金汇南路,024828
罗秀路,003813
虹梅南路,009203
北渔路,000669
古北路,010061
灵岩路,002651
韶山路,029091
杨南路,002974
杨南路,012013
宝山杨南路,030376
胶东路,011979
安亭镇墨玉路,020418
蒲汇塘路,007822
安远路,001510
黄金城道,006657
锦秋路,027260
高行镇兰嵩路,028294
钦州路,005122
四平路,001198
四团镇四平路,260333
平安镇四平路,260336
济宁路,004704
杨新路,002986
黄桦路,009124
齐齐哈尔路,001879
华光路,024884
横浜路,008678
东横浜路,000730
西横浜路,001978
龙东路,010464
塘桥新路,007892
一二八纪念路,000001
玉屏南路,001350
沪松路,002545
龙恒路,025003
零陵路,007796
太阳山路,000397
长兴路,000254
洞泾镇长兴路,270128
郁江巷路,030466
赤峰路,002472
曲阳路,001900
玉田支路,001355
金平路,003672
少年村路,000367
康宁路,027952
漕溪路,008352
瑞丽路,007850
荣乐西路,272041
杭州路,003504
眉州路,004822
周浦镇韵浦路,254478
宝安公路,003305
安亭镇宝安公路,021716
安亭镇宝安公路,020449
马陆镇宝安公路,020719
申长北路,030819
顾太路,005545
朱泾镇江川路,280349
江川路,001778
兰坪路,000862
安亭镇新源路,020456
新源路,024852
川沙镇新源路,008105
海阳路,012014
桂林西街,005558
彩云路,254742
茂名南路,003822
朱家角镇阁游路,291240
朱家角镇珠湖路,291242
朱家角镇沙淀中路,290489
朱家角镇马家桥路,291246
莲溪路,011368
嘉定工业区福海路,020928
许昌路,002100
石潭街,254797
申滨路,030091
玉盘北路,030371
局门后路,002598
徐家汇路,006158
芳华路,012008
金通路,027042
南翔镇金通路,020376
环林东路,024075
北中路,010416
莲园路,011913
泖港镇新昌路,272009
新昌路,007942
惠南镇城南路,250712
南桥镇环城南路,260622
嘉定工业区回城南路,020941
水城南路,000383
银城南路,027138
川沙镇城南路,004532
白城南路,028759
广衍路,253140
柳埠路,011159
莘建东路,024027
延安西路,002112
华阴路,001725
同丰路,027611
工业区新飞路,272208
新飞路,273398
淮海西路,006640
新城区南期昌路,270439
花木路,010829
苗圃路,003848
宝山苗圃路,030375
鑫都路,024886
新桥镇新南路,270791
江镇镇道新南路,028404
泗泾镇新南路,270918
朱泾镇新南路,280677
月新南路,000582
奉新南路,261250
竖新镇竖新南路,300981
奉城镇奉新南路,260637
南桥镇立新南路,260288
海湾旅游区奉新南路,260638
环城东路,290552
南桥镇环城东路,260620
南桥环城东路,262386
虹漕南路,004628
秀禾路,291826
花园石桥路,002564
机场镇晨阳西路,027808
莲花路,005728
凌河路,011980
宣化路,005226
南翔镇宝翔路,020355
永泰路,012003
上大路,024926
仁德路,000354
东余杭路,000790
永业路,010494
南泉路,004940
蓝村路,007790
机场镇江晖路,027810
嘉定工业区洪德路,022004
马陆镇洪德路,020748
洪德路,030686
凯旋路,003727
周浦镇川周路,252727
张江镇川周路,027329
川沙镇川周路,011068
川沙镇硕川路,028222
盐仓镇川南奉公路,252460
南桥镇南奉公路,260801
四团镇川南奉公路,260804
川南奉公路,261225
祝桥镇川南奉公路,252735
机场镇川南奉公路,010148
南桥镇川南奉公路,260803
惠南镇川南奉公路,252752
青村镇南奉公路,260324
南奉公路,261718
华新镇新凤中路,291043
陆宝山路,273412
宝山路,003386
淞宝路,006914
百花街,024098
重固镇福泉路,291002
福泉路,009100
青浦镇福泉路,291001
灵岩南路,008964
南桥运河北路,262406
惠南镇运河北路,252072
建国中路,003601
国和路,003477
金齐路,261698
瑞金二路,007848
南桥镇百富路,262204
南桥镇南港路,262286
望园南路,261740
哈密路,004602
松涛路,011918
虹莘路,004660
保乐路,004505
洛川东路,004806
西藏北路,002056
红棉路,001642
沪星路,002553
铜川路,006964
康弘路,030422
康桥镇康弘路,253075
高行镇兰谷路,028290
商城路,019904
枫泾镇商城路,280763
天钥桥路,000430
周秀路,030720
奉浦国顺路,261625
南桥国顺路,262384
国顺路,003496
国顺路,261237
博兴路,011600
环镇西路,003580
西苏州路,002032
北石路,000649
金汤路,003675
恒丰路,004612
长安路,000208
汉中路,000836
东陆路,010440
新二路,007957
施新二路,030521
申北路,001416
宛平南路,003958
松花江路,003922
创新西路,001552
中山南路,000533
川沙镇川环南路,024582
黄楼镇川环南路,010140
惠南镇拱极路,252050
斜土路,006984
中山南二路,000535
康桥镇关岳路,253087
周浦镇关岳路,250386
川沙镇川周公路,024577
周浦镇川周公路,252814
康桥川周公路,252230
沪南公路,010822
新场镇沪南公路,253097
康桥镇梓康路,252807
新桥镇明华路,270547
新桥镇陈春公路,270442
南桥镇人民北路,260049
南桥人民北路,262394
人民北路,270019
文诚路,272088
永康路,001313
高斯路,011929
淞肇路,006951
博华路,011598
昌邑路,003418
肇嘉浜路,008426
开鲁路,000331
金工路,011023
平吉路,001067
东长治路,000720
南翔殷路,027715
翔殷路,007472
铁峰路,005899
天山路,000415
浙桥路,024045
峨山路,005472
北艾路,010402
天山西路,000416
金钟路,003689
和田路,003515
西和田路,001976
古浪路,000827
泰和西路,005804
航昌路,030739
北江燕路,024858
灵山路,008960
海湾镇灵山路,262040
堡镇灵山路,300293
荣乐中路,270674
松辰路,270612
川沙镇华夏二路,010716
阳曲路,002160
嘉定镇塔城路,020101
塔城路,023297
赵巷镇巷居路,292230
学府街,027301
清河湾路,291764
京浦路,011974
海防路,005616
唐镇创新中路,001553
中佳路,023392
杨高南路,010890
康桥镇杨高南路,252809
甘泉路,000822
普善路,007436
松汇东路,270613
江玮路,029020
宣黄公路,254719
惠南镇听潮南路,253546
祁连山路,001875
东泰路,027141
恒高路,030751
运乐路,003041
金辉路,003637
新郁路,022104
茶陵路,004525
番禺路,007414
颛兴路,008772
江桥镇鹤旋路,020687
镇坪路,008762
江湾城路,027591
澳门路,008654
泥城镇泥城路,252541
原平路,008935
高桥镇夏碧路,011409
高桥镇季景路,011005
外婆泾路,273404
南桥镇解放西路,261068
五里桥路,000459
青湖路,290627
槎溪路,023090
南翔镇古猗园路,020366
银翔路,023368
祁华路,029088
华秋路,029075
朱家角镇张家圩路,292448
丽园路,002635
政悦路,027573
浦东南路,005758
江汉路,029017
政府路,005282
蒲淞南路,007826
淞南路,024923
曲阜路,001894
芷江西路,003078
天目西路,000410
凤马塘路,292630
祁真路,029089
水电路,000384
汶水东路,002851
徐泾镇联民路,290955
嘉善路,008368
滨海镇创新路,252668
祝桥镇创新路,252396
创新路,010616
居家桥路,003723
定西路,003426
武定西路,003984
崮山路,006626
华新镇新府中路,291683
白桦路,011993
钦江路,005118
七宝镇富强街,024813
富强街,007270
船山街,254750
申贵路,030097
宝铭路,024849
宝昌路,003309
联谊路,007380
江柳路,024890
云恩路,273403
康桥镇康巴路,252013
光复西路,001584
南丹路,004858
茂兴路,003828
崧润路,292786
张江镇香楠路,011207
沪光路,002534
南林路,024077
棕榈路,007520
张江镇棕榈路,027326
高行镇繁锦路,028284
西陶浜路,030389
悦来街,006220
蓝天路,011707
水产西路,027569
谷阳北路,270467
清涧路,006843
建国西路,003602
旅顺路,005742
西安路,001958
泗泾镇西安路,271155
东汉阳路,000729
泖港镇中兴路,270196
中兴路,000546
徐泾镇中兴路,290117
北京东路,000640
外冈镇彰武路,021634
彰武路,008420
东川路,000721
漕东支路,008348
李塔汇镇长寿路,270123
朱泾镇长寿路,280120
吴中东路,002883
严镇路,009006
严民路,011969
真北路,006228
老真北路,001853
高行镇秋岚路,028298
龙马路,272027
千新公路,272204
武定路,003982
武东路,003986
镇宁路,008758
延平路,002140
西渡镇西环路,260467
西环路,001986
解放岛西环路,023212
国泓路,027587
林展路,030559
裕民南路,023377
四团横桥路,262890
周浦镇横桥路,252216
云山路,010356
陈春东路,030264
严中路,011970
严杨路,009005
高行镇万安街,027211
朱泾镇万安街,280076
滨江大道,027140
五莲路,000460
天山支路,000417
伊犁路,002170
茸北镇茸平路,270826
茸平路,272104
淞滨支路,006918
江桥镇海蓝路,021954
重庆南路,004542
惠南镇拱北路,253516
九亭镇涞亭南路,270746
淞沪路,006920
招远路,004275
临沂北路,004774
湖堤路,262948
金汇路,009093
金晓路,030847
顾路镇金晓路,028344
顾路镇海鹏路,028330
兰州路,000868
保德路,004504
平顺路,001078
高桥镇春晖路,011115
乐山支路,000875
乐山路,000874
贵都路,004585
银都路,006999
闵驰二路,030541
靖宇南路,007778
古美西路,009192
浦晓南路,024866
洱海路,004575
中谊路,009245
川沙镇妙川路,028218
川沙镇华戴路,028212
凯旋北路,006257
川沙镇华夏三路,027219
华夏三路,010717
瑞和路,031012
周浦镇瑞和路,253067
三新北路,272091
真华路,006237
真华路,009104
渡桥路,031171
玉树北路,272089
延吉东路,002124
桂林东街,005556
茸城路,270683
芳甸路,010813
杨高中路,010889
中江路,000524
大渡河路,000035
曲沃路,001897
龙东大道,027005
唐镇龙东大道,024522
花木镇龙东大道,024306
张江镇龙东大道,010465
车墩镇车峰路,272704
新桥镇月台路,271183
机场镇施湾三路,027557
施湾三路,027058
延吉中路,002125
永吉路,001307
大木桥路,000049
怒江北路,005101
苏家浜路,030346
兰溪路,000866
蕰川路,008734
淞虹路,006922
泉口路,009096
江安路,001770
淮海中路,006638
周浦镇康沈路,252728
康桥镇康沈路,252760
青浦胜利路,292773
朱泾镇胜利路,280646
合庆镇胜利路,011188
青浦工业园区胜利路,290736
胜利路,290735
天河路,029037
平凉路,001074
江桥镇吴杨东路,020686
云锦路,009089
顾路镇海纳路,028328
泗陈公路,271179
漕溪北路,008354
江栀路,030357
安福路,001472
秀淳路,292789
马陆镇樱花路,020726
青安路,290618
闸航路,004272
灵石路,002649
平利路,001072
余姚路,003026
靖宇东路,007776
天宝西路,000400
大叶公路,261616
拱晨路,030991
惠南镇听悦路,253550
龙吟路,000958
芦潮港镇龙吟路,252173
汇站街,000845
通南路,005949
东波路,011960
场北路,001542
柳营路,004796
广粤路,010003
彤闻路,031084
灯辉路,001558
芳草路,012007
芳芯路,012009
芦恒路,002664
盐铁塘路,030821
龙汇路,027353
梧州路,006982
浦鸥路,024879
莱阳路,005686
张江镇古桐路,010458
春源路,011117
枫林路,003442
苍梧路,002404
中泉路,030771
宜昌路,004208
银山路,008958
汝南街,001904
机场镇施湾二路,024187
施湾二路,024119
颛乐路,008769
耀华路,008922
嘉定工业区裕民路,020933
马陆镇裕民路,020740
陈家镇裕民路,301382
姚虹路,024832
北园路,027056
崧雅路,292808
秀源路,292793
沙泾路,002748
鞍山路,008650
名都路,000024
杨鑫路,002985
南翔镇火车站路,020324
巨野路,000329
鲁班路,007384
金鼎路,027209
虎林路,003570
长清路,000246
鹤沙路,030455
西渡镇北虹路,260344
南桥镇西渡北虹路,262312
北虹路,000699
南桥镇北虹路,260353
丹巴路,000269
莲安西路,011912
隆昌路,006734
新镇路,011768
新桥镇新镇路,270942
建国新路,027691
东明路,010443
泗泾镇开江东路,270161
张江镇江东路,024504
凌桥镇江东路,010638
张江鎮江东路,024163
高桥镇江东路,024605
西康路,002008
文翔路,272020
武宁路,003995
新桥镇申光路,272406
南翔镇虹光路,020361
园光路,030348
惠南镇建光路,250614
漕泾镇明光路,280497
运光路,003040
春光路,024786
汇光路,253042
市光路,001164
青村镇福光路,262514
宣桥镇盐光路,254340
张江镇陈水光路,027675
山阳镇海光路,280701
川沙镇曙光路,008873
福光路,027906
沙光路,030947
海湾镇海光路,262012
青村镇青光路,262527
枫泾镇星光路,280665
光新路,001605
机场镇航城三路,027786
航城三路,027066
永乐路,001315
航头镇永乐路,252255
丰顺路,009039
志丹路,003082
华泾路,001685
庙泾路,003842
富联路,007265
金高路,027020
行泰路,027547
环镇北路,003576
沧源路,002406
新桥镇明中路,270963
南昌路,004838
徐泾镇谢卫路,290971
谢卫路,027719
鹤永路,030644
曹杨路,006590
邬桥友谊路,262911
友谊路,024907
合庆镇友谊路,000477
国顺东路,003497
新桥镇新中街,270944
华展路,024083
浩翔路,030598
腾冲路,007907
愚园路,008112
高东镇高宝路,027698
武昌路,003960
南泉北路,027597
机场镇施镇路,027806
祝桥镇祝潘公路,252391
永清路,001323
阳城路,008865
依玛路,030364
合作路,022005
长兴镇合作路,303318
长兴乡合作路,303104
剑河路,004712
平阳路,009193
龙茗路,024130
南翔镇德园路,020322
包头路,000619
嫩江路,008382
曙建路,030483
菊园新区平城路,022317
利西路,002616
高桥镇冬融路,010417
高桥镇秋霞路,020107
政德东路,005278
殷高东路,030381
川沙镇城丰路,011109
北宝兴路,000622
黄渡镇嘉松北路,021840
安亭镇嘉松北路,021728
外冈镇嘉松北路,021535
新渔路,008102
小木桥路,000190
中山北一路,000538
瑞金南路,009191
瑞金南路,009190
闸殷路,004274
南翔镇芳林路,020373
武康路,003990
北张家浜路,024022
芳礼路,030594
佘山镇香泉路,270692
香泉路,005205
宋园路,002787
徐泾镇高泾路,290835
天钥桥南路,000595
宝源路,003396
惠南镇拱为路,253004
政修路,005296
周泰路,030872
南桥镇新建西路,261099
嘉定镇清河路,020105
菊园新区清河路,022304
嘉定工业区清河路,020919
友爱东路,291844
久远路,291748
新城区翔峰路,270995
梅岭北路,006758
九亭镇九亭大街,270008
九亭镇虬泾路,271069
株洲路,009220
昌平路,003416
徐泾镇诸光路,290833
兰城路,010461
江桥镇临夏路,020685
临夏路,027777
柘林镇胡桥路,262722
南青路,272028
体育场路,002804
南桥体育场路,262400
青浦镇体育场路,290475
南桥镇体育场路,260575
浦建路,005760
西江湾路,001990
潘新路,028164
奉贤现代农业园区汇丰北路,261313
周浦镇蓝靛路,254436
紫藤路,009125
惠南镇人民东路,252051
奉城镇人民东路,260033
临沂路,004772
练塘镇幸福路,290422
幸福路,004034
朱泾镇幸福路,280567
斜土东路,006986
东泰林路,027270
陕西南路,003881
华科路,290333
爱国路,005458
人民塘路,010129
梅林路,027304
川沙镇兆丰路,025900
兆丰路,002180
陈家镇揽海路,302209
城桥镇玉环路,300057
惠南镇南门路,252057
城桥镇南门路,300127
朱泾镇新中路,280690
柘林镇新中路,261121
新河镇新中路,300481
南桥镇立新中路,260292
南桥北新中路,262880
新河镇新开河路,300467
堡镇堡镇中路,300339
三星镇星月路,300622
城桥镇中津桥路,300039
堡镇通富路,300315
城桥镇新崇西路,300167
堡镇为民路,300265
惠南镇为民路,250204
新环路,007976
城桥镇东引路,300055
城桥镇八一路,300003
青柏路,303423
城桥镇绿海路,300225
丰福路,000300
堡镇堡镇南路,300335
向化镇向卫路,302120
向化镇向民路,302121
安通东路,303411
宏海公路,303006
长兴镇长橘路,303303
长兴乡长橘路,303202
城桥镇新崇南路,300165
城桥镇寒山寺路,300149
翠竹路,303135
堡镇石岛路,300277
亭林镇大通路,280040
堡镇大通路,300251
长兴乡丰康路,303105
长兴镇丰康路,303311
城桥镇少年弄,300029
陈家镇裕洲路,302219
陈家镇北陈公路,301342
陈家镇北陈公路,301312
城桥镇湄洲路,300151
金滂路,303343
金淼路,303344
城桥镇新崇北路,300161
城桥镇西门路,300067
惠南镇西门路,250448
城桥镇西小港,300071
城桥镇学宫路,300109
华新镇新凤南路,291045
凤南路,000290
城桥镇酱园弄,300157
新河镇唐家湾路,300455
唐家湾路,005846
竖新镇碧瀛北路,300989
山东南路,000133
周浦镇东南路,250280
周浦镇周东南路,254486
瀛东南路,303457
庄行镇安东南路,262800
泗泾镇望东南路,271025
钱桥镇人民路,260042
奉城镇塘外人民路,261914
南桥镇人民路,260039
西渡镇人民路,260040
青村镇钱桥人民路,262522
惠南镇人民路,250020
城桥镇人民路,300005
人民路,000025
金汇镇泰日人民路,262154
青村镇人民路,260034
青村人民路,262560
朱泾镇人民路,280026
乔松路,303134
陈家镇安通路,302204
城桥镇新崇中路,300169
青村镇振兴路,260953
周浦镇振兴路,250869
惠南镇振兴路,250868
亭林镇振兴路,280747
车墩镇振兴路,270748
万祥镇振兴路,250865
惠南镇黄路振兴路,250867
新河镇新影路,300479
长兴镇渔乐路,303335
长兴乡渔乐路,303103
东风农场北沿公路,303009
前进农场北沿公路,303005
新海农场北沿公路,303017
红星农场北沿公路,303015
北沿公路,303111
城桥镇管弄,300175
城桥镇吴家弄,300095
亭林镇松隐大街,280519
蒙山路,007808
山阳镇蒙山路,280843
富川路,007256
胡桥镇窑桥中心路,261004
镇中心路,273342
金汇中心路,262174
青冈中心路,023274
六里中心路,023244
新桥镇中心路,270211
南桥镇光明中心路,262248
朱泾镇中心路,280192
北蔡镇中心路,028205
亭林镇中心路,280193
南桥镇五星中心路,262307
益民中心路,263107
水泾中心路,284217
蔡路镇塘西中心路,028987
于桥中心路,010232
张堰镇鲁堰中心路,283916
科技园区镇中心路,272114
金汇镇中心路,260204
张江镇中心路,000543
九亭镇九亭中心路,272309
朱泾镇健康南路,281406
隆安路,006732
枫泾镇枫阳路,280491
龙胜路,000946
漕泾镇中一西路,280203
卫清路,000184
老卫清路,283107
博海路,284175
大亭公路,283244
金山卫镇板桥西路,281103
板桥西路,283240
山阳镇板桥西路,280577
朱泾镇健康路,280710
枫泾镇泾波路,283227
山阳镇杭州湾大道,280571
杭州湾大道,283248
朱泾镇沈浦泾路,280452
朱泾镇金龙新街,281411
